id,name,iso
AGO,Angola,AGO
BDI,Burundi,BDI
BEN,Benin,BEN
BFA,Burkina Faso,BFA
BWA,Botswana,BWA
CAF,Central African Republic,CAF
CIV,Ivory Coast,CIV
CMR,Cameroon,CMR
COD,Democratic Republic of the Congo,COD
COG,Republic of the Congo,COG
CPV,Cape Verde,CPV
DJI,Djibouti,DJI
DZA,Algeria,DZA
EGY,Egypt,EGY
ERI,Eritrea,ERI
ETH,Ethiopia,ETH
GAB,Gabon,GAB
GHA,Ghana,GHA
GIN,Guinea,GIN
GMB,The Gambia,GMB
GNB,Guinea-Bissau,GNB
GNQ,Equatorial Guinea,GNQ
KEN,Kenya,KEN
LBR,Liberia,LBR
LBY,Libya,LBY
LSO,Lesotho,LSO
MAR,Morocco,MAR
MDG,Madagascar,MDG
MLI,Mali,MLI
MOZ,Mozambique,MOZ
MRT,Mauritania,MRT
MWI,Malawi,MWI
NAM,Namibia,NAM
NER,Niger,NER
NGA,Nigeria,NGA
RWA,Rwanda,RWA
SDN,Sudan,SDN
SEN,Senegal,SEN
SLE,Sierra Leone,SLE
SOM,Somalia,SOM
SSD,South Sudan,SSD
STP,São Tomé and Príncipe,STP
SWZ,Eswatini,SWZ
TCD,Chad,TCD
TGO,Togo,TGO
TUN,Tunisia,TUN
TZA,Tanzania,TZA
UGA,Uganda,UGA
ZAF,South Africa,ZAF
ZMB,Zambia,ZMB
ZWE,Zimbabwe,ZWE
