Nombre,Partido,Dpto.,Tipo
María José Rodríguez Gálvez,MAS IPSP (Movimiento Al Socialismo) ,Pando,titular
Sergio Maniguary Moura,CREEMOS ,Pando,titular
Roy Suárez Medina,MAS IPSP (Movimiento Al Socialismo) ,Pando,titular
Sebastián Divico Muchairo,CC (Comunidad Ciudadana) ,Pando,titular
Tacni Elvis Mendoza Mendoza,MAS IPSP (Movimiento Al Socialismo) ,Pando,titular
Enrique Cunai Cayuba,MAS IPSP (Movimiento Al Socialismo),Beni,titular
Leonardo Fabián Ayala Soria,CREEMOS ,Beni,titular
Keyla Ortiz Dorado,CC (Comunidad Ciudadana) ,Beni,titular
Aleida Joseff Téllez,MAS IPSP (Movimiento Al Socialismo),Beni,titular
Fernando Llapiz Hoentsch,CREEMOS ,Beni,titular
Sarah Vania Crespo Arze,MAS IPSP (Movimiento Al Socialismo),Beni,titular
Oscar Alberto Balderas Montaño,CC (Comunidad Ciudadana) ,Beni,titular
Janira Román Matijasevic,CC (Comunidad Ciudadana) ,Beni,titular
Deisy Judith Choque Arnez,MAS IPSP (Movimiento Al Socialismo) ,Santa Cruz,titular
Jerges Mercado Suárez,MAS IPSP (Movimiento Al Socialismo) ,Santa Cruz,titular
Sandra Paz Méndez,CREEMOS ,Santa Cruz,titular
Patricio Mendoza Chumpe,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Laura Luisa Nayar Sosa,CC (Comunidad Ciudadana) ,Santa Cruz,titular
María René Álvarez Camacho,CREEMOS ,Santa Cruz,titular
Danny Daniel Rojas Montes De Oca,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Vicente Condori Rodríguez,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Hernán Hinojosa Rojas,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Tania Rosmery Paniagua Mafaile,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Runy Elvio Callau Monasterio,CREEMOS ,Santa Cruz,titular
Oscar Charles Michel Flores,CREEMOS ,Santa Cruz,titular
Omar Jesús Rueda Gutiérrez,CREEMOS ,Santa Cruz,titular
Rosa Tatiana Añez Carrasco,CREEMOS ,Santa Cruz,titular
Alba Moira Osinaga Rivero,CREEMOS ,Santa Cruz,titular
José Carlos Gutiérrez Vargas,CREEMOS ,Santa Cruz,titular
Walthy Mauricio Egüez Paz,CREEMOS ,Santa Cruz,titular
Aldo Raúl Terrazas Rivero,CC (Comunidad Ciudadana) ,Santa Cruz,titular
Senaida Rojas Banegas,CC (Comunidad Ciudadana) ,Santa Cruz,titular
Daniel Prieto Tomelitch,CC (Comunidad Ciudadana) ,Santa Cruz,titular
Anyelo Gerardo Céspedes Miranda,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Alina Canaviri Sullcani,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Estefanía Morales Laura,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Tito Caero Vargas,CREEMOS ,Santa Cruz,titular
María Khaline Moreno Cárdenas,CREEMOS ,Santa Cruz,titular
Erwin Bazán Gutiérrez,CREEMOS ,Santa Cruz,titular
Marioly A. Daisy Morón Osinaga,CREEMOS ,Santa Cruz,titular
Elsa Sánchez Romero,MAS IPSP (Movimiento Al Socialismo),Santa Cruz,titular
Jorge Yucra Zárate,MAS IPSP (Movimiento Al Socialismo),Chuquisaca,titular
