id,department,department_seat
p01,Chuquisaca,01
p02,Chuquisaca,02
p03,Chuquisaca,03
p04,Chuquisaca,04
p05,La Paz,01
p06,La Paz,02
p07,La Paz,03
p08,La Paz,04
p09,La Paz,05
p10,La Paz,06
p11,La Paz,07
p12,La Paz,08
p13,La Paz,09
p14,La Paz,10
p15,La Paz,11
p16,La Paz,12
p17,La Paz,13
p18,La Paz,14
p19,Cochabamba,01
p20,Cochabamba,02
p21,Cochabamba,03
p22,Cochabamba,04
p23,Cochabamba,05
p24,Cochabamba,06
p25,Cochabamba,07
p26,Cochabamba,08
p27,Cochabamba,09
p28,Oruro,01
p29,Oruro,02
p30,Oruro,03
p31,Oruro,04
p32,Potosí,01
p33,Potosí,02
p34,Potosí,03
p35,Potosí,04
p36,Potosí,05
p37,Potosí,06
p38,Tarija,01
p39,Tarija,02
p40,Tarija,03
p41,Tarija,04
p42,Santa Cruz,01
p43,Santa Cruz,02
p44,Santa Cruz,03
p45,Santa Cruz,04
p46,Santa Cruz,05
p47,Santa Cruz,06
p48,Santa Cruz,07
p49,Santa Cruz,08
p50,Santa Cruz,09
p51,Santa Cruz,10
p52,Santa Cruz,11
p53,Santa Cruz,12
p54,Santa Cruz,13
p55,Santa Cruz,14
p56,Beni,01
p57,Beni,02
p58,Beni,03
p59,Pando,01
p60,Pando,02
