id,state_en,state_fr
AFG,Afghanistan,Afghanistan
AGO,Angola,Angola
ALB,Albania,Albanie
AND,Andorra,Andorre
ARE,United Arab Emirates,Émirats arabes unis
ARG,Argentina,Argentine
ARM,Armenia,Arménie
ATG,Antigua And Barbuda,Antigua-et-Barbuda
AUS,Australia,Australie
AUT,Austria,Autriche
AZE,Azerbaijan,Azerbaïdjan
BDI,Burundi,Burundi
BEL,Belgium,Belgique
BEN,Benin,Bénin
BFA,Burkina Faso,Burkina Faso
BGD,Bangladesh,Bangladesh
BGR,Bulgaria,Bulgarie
BHR,Bahrain,Bahreïn
BHS,Bahamas,Bahamas
BIH,Bosnia And Herzegovina,Bosnie-Herzégovine
BLR,Belarus,Biélorussie
BLZ,Belize,Bélize
BOL,Bolivia,Bolivie
BRA,Brazil,Brésil
BRB,Barbados,Barbade
BRN,Brunei Darussalam,Brunei
BTN,Bhutan,Bhoutan
BWA,Botswana,Botswana
CAF,Central African Republic,Centrafrique
CAN,Canada,Canada
CHE,Switzerland,Suisse
CHL,Chile,Chili
CHN,China,Chine
CIV,Ivory Coast,Côte d’Ivoire
CMR,Cameroon,Cameroun
COD,Zaire,Zaïre
COG,Congo,Congo
COL,Colombia,Colombie
COM,Comoros,Comores
CPV,Cape Verde,Cap Vert
CRI,Costa Rica,Costa Rica
CUB,Cuba,Cuba
CYP,Cyprus,Chypre
CZE,Czechia,Tchéquie
DEU,Germany,Allemagne
DJI,Djibouti,Djibouti
DMA,Dominica,Dominique
DNK,Denmark,Danemark
DOM,Dominican Republic,République dominicaine
DZA,Algeria,Algérie
ECU,Ecuador,Équateur
EGY,Egypt,Égypte
ERI,Eritrea,Érythrée
ESP,Spain,Espagne
EST,Estonia,Estonie
ETH,Ethiopia,Éthiopie
FIN,Finland,Finlande
FJI,Fiji,Fidji
FRA,France,France
FSM,Micronesia (federated States Of),Micronésie
GAB,Gabon,Gabon
GBR,United Kingdom,Royaume-Uni
GEO,Georgia,Géorgie
GHA,Ghana,Ghana
GIN,Guinea,Guinée
GMB,Gambia,Gambie
GNB,Guinea-bissau,Guinée-Bissau
GNQ,Equatorial Guinea,Guinée équatoriale
GRC,Greece,Grèce
GRD,Grenada,Grenade
GTM,Guatemala,Guatemala
GUY,Guyana,Guyana
HND,Honduras,Honduras
HRV,Croatia,Croatie
HTI,Haiti,Haïti
HUN,Hungary,Hongrie
IDN,Indonesia,Indonésie
IND,India,Inde
IRL,Ireland,Irlande
IRN,Iran (islamic Republic Of),Iran
IRQ,Iraq,Irak
ISL,Iceland,Islande
ISR,Israel,Israël
ITA,Italy,Italie
JAM,Jamaica,Jamaïque
JOR,Jordan,Jordanie
JPN,Japan,Japon
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KGZ,Kyrgyzstan,Kirghizstan
KHM,Cambodia,Cambodge
KIR,Kiribati,Kiribati
KNA,Saint Kitts And Nevis,Saint-Kitts-et-Nevis
KOR,Republic Of Korea,Corée du Sud
KWT,Kuwait,Koweït
LAO,Lao People's Democratic Republic,Laos
LBN,Lebanon,Liban
LBR,Liberia,Libéria
LBY,Libyan Arab Jamahiriya,Libye
LCA,Saint Lucia,Sainte-Lucie
LIE,Liechtenstein,Liechtenschtein
LKA,Sri Lanka,Ski Lanka
LSO,Lesotho,Lesotho
LTU,Lithuania,Lituanie
LUX,Luxembourg,Luxembourg
LVA,Latvia,Lettonie
MAR,Morocco,Maroc
MCO,Monaco,Monaco
MDA,Republic Of Moldova,Moldavie
MDG,Madagascar,Madagascar
MDV,Maldives,Maldives
MEX,Mexico,Mexique
MHL,Marshall Islands,Marshall
MKD,The Former Yugoslav Republic Of Macedonia,Fyrom
MLI,Mali,Mali
MLT,Malta,Malte
MMR,Myanmar,Birmanie
MNE,Montenegro,Monténégro
MNG,Mongolia,Mongolie
MOZ,Mozambique,Mozambique
MRT,Mauritania,Mauritanie
MUS,Mauritius,Maurice
MWI,Malawi,Malawi
MYS,Malaysia,Malaisie
NAM,Namibia,Namibie
NER,Niger,Niger
NGA,Nigeria,Nigéria
NIC,Nicaragua,Nicaragua
NLD,Netherlands,Pays-Bas
NOR,Norway,Norvège
NPL,Nepal,Népal
NRU,Nauru,Nauru
NZL,New Zealand,Nouvelle-Zélande
OMN,Oman,Oman
PAK,Pakistan,Pakistan
PAN,Panama,Panamà
PER,Peru,Pérou
PHL,Philippines,Philippines
PLW,Palau,Palau
PNG,Papua New Guinea,Papouasie-Nouvelle-Guinée
POL,Poland,Pologne
PRK,Democratic People's Republic Of Korea,Corée du Nord
PRT,Portugal,Portugal
PRY,Paraguay,Paraguay
QAT,Qatar,Qatar
ROU,Romania,Roumanie
RUS,Russian Federation,Russie
RWA,Rwanda,Rwanda
SAU,Saudi Arabia,Arabie saoudite
SDN,Sudan,Soudan
SEN,Senegal,Sénégal
